strict_route_id,rank,outer_seed,outer_fold,baseline_mean_ba,baseline_dep_mean_ba,baseline_hc_mean_ba,selected_mean_ba,selected_dep_mean_ba,selected_hc_mean_ba,selected_gap,selected_min_group_ba,delta_mean_ba,dep_weight_label,hc_weight_label,dep_weights,hc_weights,router_name,router_transform,inner_selected_objective
strict_top7_moe_03,3,*,0,0.78941632,0.77120448,0.7954869333333332,0.794136,0.7767968,0.7999157333333332,0.023118933333333258,0.5032,0.004719680000000004,uniform,dirichlet_001,"[0.25, 0.25, 0.25, 0.25]","[0.21829912702141255, 0.05968107759487861, 0.3381366135107107, 0.33464978108703763, 0.04923340078596061]",p1_oof_rank_soft_t0p1,raw,0.7799251302083333
strict_top7_moe_03,3,*,1,0.7674719999999999,0.6531103999999999,0.8055925333333335,0.7721364799999999,0.64453952,0.8146688,0.17012927999999994,0.508,0.004664479999999971,dirichlet_003,dirichlet_004,"[0.3647693001065264, 0.4081611169971191, 0.14158573458130108, 0.08548384831505337]","[0.273628574133023, 0.1929102428228564, 0.14910998918236404, 0.2648106244077669, 0.11954056945398976]",p1_oof_rank_soft_t0p1,raw,0.7933626302083334
strict_top7_moe_03,3,*,2,0.7488616,0.6816639999999999,0.7712608000000001,0.7457015999999999,0.690144,0.7642207999999999,0.07407679999999994,0.4788,-0.0031600000000001627,dirichlet_007,dirichlet_004,"[0.329500800753813, 0.274524747361062, 0.18112223046186338, 0.21485222142326166]","[0.273628574133023, 0.1929102428228564, 0.14910998918236404, 0.2648106244077669, 0.11954056945398976]",p1_oof_rank_soft_t0p1,raw,0.7947981770833333
strict_top7_moe_03,3,*,3,0.8013576,0.7119264000000001,0.8311679999999999,0.8000344,0.710208,0.8299765333333333,0.11976853333333337,0.441024,-0.0013231999999999688,dirichlet_003,dirichlet_005,"[0.3647693001065264, 0.4081611169971191, 0.14158573458130108, 0.08548384831505337]","[0.32380225983752686, 0.1364814301064525, 0.2828608541142792, 0.23030797635699404, 0.026547479584747315]",p1_oof_rank_soft_t0p1,raw,0.7842464192708334
strict_top7_moe_03,3,*,4,0.78869568,0.6752947199999999,0.8264959999999999,0.7950595199999999,0.67808448,0.8340512,0.15596672,0.552992,0.0063638399999998985,dirichlet_003,dirichlet_004,"[0.3647693001065264, 0.4081611169971191, 0.14158573458130108, 0.08548384831505337]","[0.273628574133023, 0.1929102428228564, 0.14910998918236404, 0.2648106244077669, 0.11954056945398976]",p1_oof_rank_soft_t0p1,raw,0.7869059244791667
strict_top7_moe_04,4,*,0,0.7783516799999999,0.75646336,0.7856477866666666,0.7948004799999999,0.75464192,0.8081866666666667,0.053544746666666754,0.55624,0.01644880000000004,dirichlet_000,dirichlet_003,"[0.29638121718640226, 0.09654857901322246, 0.07885062463182238, 0.528219579168553]","[0.31326526675044636, 0.17080622286644728, 0.1260707844591336, 0.2770659467755137, 0.11279177914845909]",p1_oof_rank_soft_t0p1,raw,0.781806640625
strict_top7_moe_04,4,*,1,0.76995376,0.6292614400000001,0.8168512000000001,0.7671654399999999,0.6371417600000001,0.8105066666666667,0.1733649066666666,0.508,-0.0027883200000001773,uniform,dirichlet_006,"[0.25, 0.25, 0.25, 0.25]","[0.21911073444603343, 0.12107662707369221, 0.2809133920992484, 0.20969284352252188, 0.16920640285850394]",p1_oof_rank_soft_t0p1,raw,0.7945263671875
strict_top7_moe_04,4,*,2,0.7467056000000001,0.6796,0.7690741333333334,0.749172,0.69544,0.7670826666666667,0.07164266666666674,0.4844,0.0024663999999998687,uniform,dirichlet_003,"[0.25, 0.25, 0.25, 0.25]","[0.31326526675044636, 0.17080622286644728, 0.1260707844591336, 0.2770659467755137, 0.11279177914845909]",p1_oof_rank_soft_t0p1,raw,0.7939518229166667
strict_top7_moe_04,4,*,3,0.7982351999999999,0.6977536000000001,0.8317290666666666,0.7976239999999999,0.7001823999999999,0.8301045333333332,0.12992213333333336,0.496272,-0.0006112000000000339,dirichlet_000,dirichlet_003,"[0.29638121718640226, 0.09654857901322246, 0.07885062463182238, 0.528219579168553]","[0.31326526675044636, 0.17080622286644728, 0.1260707844591336, 0.2770659467755137, 0.11279177914845909]",p1_oof_rank_soft_t0p1,raw,0.7837190755208333
strict_top7_moe_04,4,*,4,0.78817776,0.6710534399999999,0.8272191999999999,0.79746112,0.68264448,0.8357333333333333,0.15308885333333333,0.549584,0.009283360000000074,dirichlet_006,dirichlet_003,"[0.384928505068738, 0.16508165800294053, 0.13731951803366868, 0.3126703188946528]","[0.31326526675044636, 0.17080622286644728, 0.1260707844591336, 0.2770659467755137, 0.11279177914845909]",p1_oof_rank_soft_t0p1,raw,0.7859765624999999
